batter_position,start_state,end_state,count
10,15,11,2
11,1,2,771
8,5,4,14
8,17,20,418
11,11,16,1
8,23,21,8
10,1,4,99
8,21,18,373
6,14,18,27
7,13,12,46
10,21,20,18
4,3,0,1
10,22,24,3
0,7,7,1
7,23,20,5
11,12,12,3663
4,21,20,55
8,16,16,159032
4,1,2,7093
4,17,16,12
10,9,9,26705
1,2,0,5
1,7,14,1
5,11,17,130
11,0,0,64295
9,13,8,1
1,11,11,11280
7,13,20,102
8,22,24,29
5,21,17,27
2,23,19,9
1,19,24,84
1,21,20,28
1,5,1,2
7,23,22,183
8,17,16,10
1,17,17,34796
10,13,9,7
11,9,10,1328
10,15,21,1
6,11,13,121
11,3,12,2
1,7,3,1
10,18,18,15881
2,13,12,39
9,23,20,6
7,7,11,1
7,20,16,364
0,15,15,24
5,4,0,73
3,10,12,1676
8,22,20,165
9,15,11,7
8,13,17,26
2,15,24,1
3,11,24,4
4,17,20,488
6,17,16,3
2,22,18,11
11,11,18,25
7,5,5,6509
2,23,25,2
6,22,22,10627
2,14,10,3
9,5,10,6
10,6,4,27
6,19,19,32037
3,21,21,16482
6,23,25,3
3,13,8,4
9,21,20,53
4,13,17,34
6,19,20,13
10,15,22,7
11,17,20,56
7,11,9,2
4,21,21,13889
6,20,16,261
7,13,10,254
4,15,14,115
4,3,4,10
4,10,16,326
7,9,9,78180
9,9,10,6580
8,19,18,7
11,23,22,112
3,5,10,8
5,19,22,969
4,22,20,158
9,11,11,27860
8,2,8,115
2,19,17,1
7,1,1,64761
7,3,10,59
7,22,22,10702
10,7,11,1
1,10,16,110
7,23,23,10129
9,11,24,1
1,5,9,13
11,20,24,10
8,9,12,470
7,3,4,15
9,7,4,1
5,16,16,155072
3,13,13,14323
6,13,20,132
5,17,16,18
10,13,24,1
10,13,20,39
4,19,18,9
7,15,21,1
6,12,16,132
5,13,13,13115
8,6,12,1
8,6,6,3634
3,14,18,10
1,11,24,1
2,22,25,2
5,7,11,1
10,20,16,132
8,19,24,149
4,19,20,9
3,11,14,1163
7,21,22,944
1,7,4,1
3,13,16,11
8,13,12,24
8,15,14,141
1,21,22,498
10,23,23,3617
1,8,8,86179
3,12,16,41
4,9,12,476
5,23,22,183
8,14,14,9621
0,18,18,64
8,3,2,6
2,7,2,1
3,17,20,543
3,19,16,1
4,23,23,10535
4,14,12,127
7,21,20,40
4,2,2,21163
7,11,12,23
3,21,18,345
7,23,25,2
11,21,21,6292
6,10,12,1293
8,17,17,68512
7,3,6,525
4,13,14,528
11,7,11,2
9,12,12,13367
5,5,6,289
3,22,24,21
2,11,9,2
6,15,11,3
1,13,14,191
8,11,18,90
8,7,6,70
8,0,0,318852
5,7,12,1
3,7,3,3
4,15,10,2
4,15,21,3
3,2,2,18702
7,17,16,18
0,8,8,6
2,11,12,30
9,3,1,1
6,23,19,5
5,23,21,4
2,16,16,145405
4,7,5,2
3,15,22,5
5,19,25,1
1,23,23,7286
2,15,13,3
4,20,16,275
8,14,8,4
2,17,17,73511
2,5,5,5720
2,6,10,7
2,23,23,11334
5,5,10,5
6,15,13,2
5,22,25,2
7,11,17,115
6,18,20,1137
7,11,20,28
9,1,0,7
2,7,11,1
9,9,8,18
0,23,23,137
4,12,8,203
9,18,16,29
11,17,18,1475
10,1,0,2
8,13,20,98
1,13,20,54
9,19,16,4
6,23,22,167
5,7,2,1
4,5,1,6
7,13,18,34
9,0,0,264390
7,14,10,4
6,5,9,10
3,13,10,308
3,7,14,3
8,11,20,14
1,14,12,56
10,12,12,4483
6,14,20,27
11,9,9,22744
10,0,0,90152
2,14,24,4
5,6,6,3964
9,18,18,42694
2,20,20,17073
5,23,23,11247
9,15,19,7
8,11,13,132
10,5,12,16
2,3,10,78
9,15,14,150
7,19,22,902
8,13,18,29
0,13,14,1
4,14,10,5
2,21,25,22
7,5,0,1
2,19,21,195
6,4,4,3800
11,15,21,4
10,11,8,5
3,14,20,8
4,9,8,15
6,7,2,1
4,15,12,1
7,9,16,2734
3,23,21,6
10,6,6,1605
9,20,24,60
1,18,16,10
8,13,8,1
11,4,0,12
1,9,12,124
10,5,10,1
3,9,16,2739
8,3,5,74
5,3,10,73
2,9,12,442
5,15,22,10
2,7,5,1
7,13,14,600
9,13,10,241
3,21,24,273
8,5,2,97
6,9,9,67195
10,3,10,34
3,5,16,1
5,14,12,133
1,1,8,640
9,14,14,10274
10,15,19,2
4,7,11,2
5,14,20,12
2,13,13,12272
1,12,16,213
10,3,6,213
10,17,17,27997
5,11,14,978
5,15,12,4
1,19,18,8
7,21,18,342
5,5,2,127
8,23,23,10527
9,6,6,4299
9,12,8,220
7,11,8,5
6,1,8,2868
8,21,21,14477
8,23,22,177
1,6,2,1
8,11,14,773
5,19,18,13
9,5,4,16
5,15,11,3
10,23,20,1
4,11,11,23998
11,2,4,137
6,14,12,116
6,12,12,10499
7,21,21,15682
11,13,14,212
1,11,20,4
9,17,18,7205
2,15,19,13
4,11,9,1
8,3,3,14541
10,9,16,849
7,3,2,12
5,9,10,6156
8,6,10,2
5,6,4,61
11,12,16,12
1,20,24,48
3,22,22,10275
9,8,8,190377
8,5,8,1
10,23,22,68
7,11,10,17
8,14,12,113
11,13,10,91
11,21,25,2
3,3,1,2
0,3,3,2
4,15,22,17
4,5,4,15
6,3,5,83
9,21,16,4
8,7,4,1
2,6,6,3852
3,19,19,34768
7,22,18,9
1,12,8,99
7,18,20,1403
1,10,10,13098
6,15,14,154
3,19,21,256
6,22,18,11
6,17,24,2992
7,15,13,2
11,3,5,18
7,23,24,19
2,6,8,2
1,9,8,3
10,17,18,2988
2,21,22,1048
11,3,6,144
11,14,10,1
11,18,16,5
2,14,18,20
4,2,0,24
3,7,6,61
5,23,25,3
5,3,0,2
5,5,5,6302
7,15,12,3
3,5,9,9
3,5,12,68
9,6,4,71
9,6,10,4
11,22,18,2
1,13,13,4859
4,11,14,676
7,15,11,4
7,9,10,6184
9,20,20,18314
6,11,17,124
11,19,18,1
8,1,4,397
7,3,3,15991
9,18,24,128
3,6,2,3
3,18,18,46482
2,15,15,9388
2,21,21,15865
7,7,5,1
2,17,16,16
3,1,4,370
11,19,19,15363
7,21,24,214
5,12,8,214
1,21,16,3
7,15,10,1
6,18,24,136
10,1,8,527
9,14,8,4
11,2,8,16
10,15,13,2
1,5,5,2370
3,2,8,76
1,15,15,4231
8,13,14,498
7,14,20,11
9,4,0,82
6,19,17,1
5,11,10,17
9,23,16,1
2,23,20,1
3,5,8,2
4,15,20,1
2,3,9,99
11,21,24,42
4,23,20,4
2,21,17,22
9,5,9,3
3,11,11,30034
9,14,18,6
9,23,22,157
8,11,11,24518
9,1,8,1877
10,4,4,1116
9,7,7,3614
7,1,2,4711
10,21,24,64
7,23,18,1
0,14,14,13
11,5,10,2
1,6,6,1341
2,21,20,52
5,10,16,366
1,22,22,4466
7,13,9,16
11,13,13,5327
9,17,24,2817
6,11,14,685
11,7,7,1950
10,6,2,1
11,21,17,7
11,19,22,380
10,21,21,5981
3,11,8,2
3,9,9,79625
6,19,24,162
3,7,2,2
9,11,14,998
8,18,24,109
7,7,7,3523
2,19,16,2
4,7,14,2
3,20,20,20256
5,1,0,10
3,15,14,153
2,5,2,101
11,15,15,5917
9,23,18,1
7,15,19,8
11,9,16,299
7,23,21,7
1,23,25,3
7,1,4,385
4,7,3,2
9,7,5,1
2,1,4,323
4,4,8,11
7,4,0,93
3,3,12,13
1,23,24,34
11,1,1,16177
9,21,24,214
9,11,13,219
9,16,16,160690
5,21,16,4
8,15,24,1
5,18,18,41911
3,23,22,186
0,13,13,12
10,15,14,59
11,21,22,335
1,19,19,20834
4,19,21,151
11,23,23,5918
7,15,22,3
1,9,10,1500
11,7,6,38
5,14,14,10042
4,17,18,6811
8,5,1,7
10,5,6,128
8,23,26,2
11,11,13,60
5,10,10,33719
2,12,16,112
2,15,21,6
3,5,5,7045
4,2,4,748
8,21,20,40
3,19,24,190
5,8,8,194080
7,6,10,4
3,13,9,17
3,14,10,5
6,3,4,9
11,1,4,39
6,2,2,19502
3,3,9,87
7,17,24,2997
6,13,12,36
4,13,20,113
5,17,17,74145
5,13,10,252
6,9,16,2798
2,11,17,157
11,17,24,194
4,3,6,402
8,15,19,4
1,3,10,34
10,14,14,3854
11,22,16,2
1,20,16,100
3,9,10,6971
9,23,23,10428
3,13,24,2
6,1,1,67874
0,17,17,82
8,5,10,5
9,23,19,11
5,23,16,1
4,11,24,2
4,7,6,45
2,6,0,3
7,21,16,4
6,1,0,8
4,21,17,24
11,18,20,346
8,14,20,9
7,19,19,34231
5,7,7,3531
10,13,13,5279
1,23,21,2
7,18,16,32
4,13,10,184
9,4,4,3840
7,5,8,5
6,4,0,63
10,11,17,49
6,1,4,475
4,5,2,77
4,1,0,21
2,3,2,6
5,19,21,232
8,7,2,1
4,0,0,297819
10,13,18,10
10,15,15,3138
9,4,8,7
2,20,24,48
1,1,4,68
8,11,8,1
4,5,8,2
