Lineup,Start_State,End_State,Count
1,0,0,9272
1,0,1,1
1,1,1,852
1,1,2,57
1,1,4,6
1,1,8,16
1,2,2,226
1,2,4,4
1,2,8,2
1,3,3,162
1,3,4,1
1,3,5,1
1,3,6,9
1,3,9,2
1,3,10,3
1,4,4,30
1,5,5,68
1,5,6,8
1,6,6,44
1,7,7,51
1,8,8,3303
1,9,9,989
1,9,10,79
1,9,12,4
1,9,16,27
1,10,10,618
1,10,12,26
1,10,16,5
1,11,11,330
1,11,12,1
1,11,13,1
1,11,14,17
1,12,8,4
1,12,12,200
1,12,16,2
1,13,10,5
1,13,12,1
1,13,13,144
1,13,14,6
1,13,20,1
1,14,12,3
1,14,14,180
1,15,14,1
1,15,15,154
1,16,16,2692
1,16,17,1
1,17,17,1005
1,17,18,123
1,17,19,2
1,17,20,7
1,17,24,29
1,18,18,847
1,18,20,32
1,18,24,2
1,19,19,478
1,19,21,1
1,19,22,17
1,19,24,2
1,20,16,1
1,20,20,303
1,20,21,1
1,21,18,4
1,21,20,1
1,21,21,231
1,21,22,30
1,21,24,2
1,22,20,8
1,22,22,255
1,23,18,1
1,23,22,1
1,23,23,179
1,23,24,1
2,0,0,3992
2,1,1,2032
2,1,2,236
2,1,4,15
2,1,8,100
2,2,2,715
2,2,4,26
2,2,8,2
2,3,3,206
2,3,5,6
2,3,6,6
2,3,9,1
2,3,10,1
2,4,0,5
2,4,4,132
2,4,8,1
2,5,2,2
2,5,5,80
2,5,6,6
2,5,12,1
2,6,4,1
2,6,6,50
2,7,6,1
2,7,7,46
2,8,8,6365
2,9,9,1085
2,9,10,133
2,9,11,1
2,9,12,10
2,9,16,50
2,10,8,1
2,10,10,521
2,10,12,28
2,10,16,11
2,11,11,370
2,11,14,8
2,11,18,1
2,12,8,1
2,12,12,167
2,12,16,2
2,13,10,3
2,13,13,176
2,13,14,18
2,13,16,1
2,13,20,4
2,14,12,2
2,14,14,125
2,14,20,1
2,15,14,1
2,15,15,141
2,16,16,2551
2,17,17,1102
2,17,18,196
2,17,20,5
2,17,24,74
2,18,18,754
2,18,20,42
2,18,24,5
2,19,19,540
2,19,20,1
2,19,21,5
2,19,22,20
2,19,24,1
2,20,16,5
2,20,20,357
2,21,18,2
2,21,21,216
2,21,22,38
2,21,24,3
2,22,16,1
2,22,20,3
2,22,22,199
2,22,24,1
2,23,22,5
2,23,23,196
3,0,0,3947
3,1,1,931
3,1,2,70
3,1,4,6
3,1,8,29
3,2,2,362
3,2,4,17
3,2,8,1
3,3,2,1
3,3,3,461
3,3,4,1
3,3,5,2
3,3,6,17
3,3,9,1
3,4,0,5
3,4,4,67
3,5,2,3
3,5,4,2
3,5,5,205
3,5,6,17
3,6,4,3
3,6,6,99
3,7,6,1
3,7,7,48
3,8,8,2937
3,9,9,2207
3,9,10,194
3,9,11,1
3,9,12,16
3,9,16,86
