batter_position,start_state,end_state,count
10,13,8,184
9,7,2,50
11,10,20,1651
9,2,6,129
5,3,1,7
1,3,11,2579
11,5,16,142
2,10,24,338
6,17,17,50
9,9,12,705
10,7,9,6
11,13,14,173
0,15,13,1
7,19,23,4606
1,19,25,127
8,9,13,3878
4,12,13,1329
10,14,16,11
2,20,21,3075
6,6,5,305
7,11,10,486
9,5,0,219
10,6,20,3
4,18,18,2510
5,6,18,8
3,2,16,143
1,6,3,9
5,11,17,129
9,13,25,72
5,1,12,172
9,4,1,641
11,19,18,334
11,5,13,640
9,10,10,1941
10,15,17,11
3,10,11,7330
7,7,5,153
9,15,23,2889
8,3,14,2319
10,14,13,234
8,9,16,69
4,12,16,2380
11,13,19,126
1,12,17,145
8,11,24,3037
9,21,23,1700
11,7,17,5
10,21,17,4
3,4,8,834
4,22,24,6559
7,12,8,343
11,23,17,8
0,19,22,2
11,20,24,3176
10,11,19,4139
7,3,7,2819
4,3,4,91
2,20,20,83
8,1,10,8955
3,22,19,7
0,13,21,1
9,5,5,363
5,10,13,2111
11,23,22,147
11,17,25,12
3,8,9,48005
3,3,2,293
7,18,19,8520
2,8,10,7796
11,4,4,3
10,19,16,387
1,7,10,1
1,14,25,10
6,12,18,81
11,12,10,141
6,6,0,35
0,23,18,5
10,21,22,145
8,6,6,30
11,7,22,63
5,13,9,6
1,2,1,144
1,0,4,268
5,7,8,4
10,15,22,165
5,15,14,444
10,11,14,343
4,5,10,305
5,11,22,1582
11,14,18,323
6,14,10,425
4,15,25,49
3,6,12,723
10,3,24,11
3,5,7,640
1,17,18,494
10,5,18,9
3,0,0,9707
5,5,20,78
4,21,25,90
11,11,8,218
9,12,20,4522
5,10,16,185
7,23,26,71
7,5,2,97
2,22,26,52
5,21,19,1944
2,9,17,30096
6,18,16,443
6,23,25,89
5,15,19,1022
6,17,22,1512
0,14,22,3
7,7,0,127
9,17,19,14891
9,22,19,11
1,2,8,12
8,13,17,2342
8,19,21,1415
6,4,9,25
8,7,19,18
10,3,9,28
6,22,22,11
10,20,17,922
1,7,11,63
0,20,16,2
9,8,9,50241
9,3,2,231
3,5,5,476
8,6,16,15
2,16,16,3306
11,2,5,335
5,2,10,7946
8,14,20,1014
1,22,18,115
2,1,4,281
7,1,9,27460
8,23,19,644
9,5,7,590
9,6,12,625
11,3,17,50
4,5,11,170
8,15,8,218
8,7,14,145
6,14,11,75
7,3,5,610
8,6,13,41
1,4,16,7
3,12,20,4424
9,0,0,8745
5,4,2,175
5,9,18,5486
2,15,21,885
10,9,20,91
5,13,24,1877
11,22,25,19
10,1,5,1055
2,15,15,1585
2,21,21,809
3,17,19,16065
1,18,24,12803
4,20,25,34
1,3,10,9
3,9,12,536
8,14,21,237
0,3,18,1
8,14,15,2703
3,7,2,67
3,2,6,116
4,17,24,44947
8,16,17,42896
8,11,9,9
7,7,7,692
4,7,4,30
11,2,0,49
3,5,0,225
2,14,8,116
7,0,2,13981
2,6,17,1
8,19,20,461
2,5,14,183
1,15,12,13
5,3,8,10
7,11,11,1803
3,13,25,81
11,5,6,60
2,13,16,9
2,11,18,148
5,22,23,2346
9,2,16,130
10,12,12,23
9,10,11,6235
3,15,23,2782
11,15,24,856
3,10,10,2012
1,5,4,10
2,10,9,2227
3,4,1,642
2,15,20,22
11,21,24,4468
7,13,12,112
10,1,0,715
3,21,23,1886
2,21,20,113
10,23,24,2755
8,2,12,4911
8,10,18,16382
9,4,8,792
7,3,0,503
6,5,12,18
5,16,24,105720
6,6,7,379
6,22,17,810
4,14,12,91
6,8,8,2810
8,13,22,225
2,13,13,634
6,22,16,118
0,23,24,107
3,7,0,144
5,9,9,36
2,15,8,245
2,7,14,195
1,14,12,20
11,2,2,162
11,7,6,80
2,6,13,41
11,20,18,149
7,0,0,8867
8,15,21,853
9,3,5,636
3,23,26,80
8,15,15,1455
3,5,2,110
8,21,21,701
7,6,12,610
7,5,7,591
4,5,4,48
6,12,24,202
2,19,21,1696
2,13,17,2292
10,6,1,83
2,7,19,26
9,1,9,28538
6,7,12,14
4,15,12,93
10,1,2,336
2,6,16,9
5,0,8,179885
8,16,16,3803
11,14,24,44
11,4,10,1
7,8,9,50569
1,7,4,6
7,3,2,238
3,18,19,10363
5,3,20,1470
10,3,18,67
1,17,24,27749
5,4,5,469
2,14,20,1042
10,5,24,4
8,1,4,653
3,3,7,2824
2,23,19,651
1,20,25,8
4,3,10,43
7,22,19,10
8,10,9,2460
8,15,20,28
4,18,24,27289
9,3,0,494
11,1,3,3225
7,4,8,800
8,21,20,191
3,12,8,312
10,9,8,956
2,2,12,4592
6,1,8,44
2,10,18,14875
4,4,16,30
9,13,12,139
1,5,11,97
11,9,14,538
7,10,11,6248
3,7,5,219
8,13,13,567
5,5,1,2
2,13,22,220
7,2,16,142
2,14,21,248
4,22,18,580
2,14,15,3131
9,11,11,1833
5,4,0,72
9,0,2,13532
2,16,17,37291
3,11,10,638
10,2,3,780
2,11,9,14
9,7,7,732
11,19,24,11335
3,19,23,4646
4,7,11,308
8,14,8,123
2,19,20,245
8,5,14,218
0,20,17,6
6,15,11,486
8,13,16,6
10,20,16,209
11,3,13,430
8,11,18,132
4,2,8,68
11,3,6,131
6,1,1,21
6,18,17,3653
2,3,14,2485
9,12,8,299
11,11,20,16
5,8,12,1174
10,14,22,962
5,5,8,6
6,6,2,142
2,9,16,66
5,14,14,76
2,11,24,4725
3,3,0,590
3,13,12,103
7,21,23,1638
1,21,25,42
5,10,17,498
