Lineup,Start_State,End_State,Count
1,3,11,55
2,10,24,7
9,9,12,3
7,19,23,74
1,19,25,3
8,9,13,38
4,12,13,33
2,20,21,52
6,6,5,8
7,11,10,3
9,5,0,2
4,18,18,52
5,6,18,1
5,11,17,3
5,1,12,4
9,4,1,8
9,10,10,20
3,10,11,159
7,7,5,2
9,15,23,53
8,3,14,38
8,9,16,1
4,12,16,30
1,12,17,8
8,11,24,69
9,21,23,20
3,4,8,14
4,22,24,100
7,12,8,8
7,3,7,51
4,3,4,1
2,20,20,2
8,1,10,139
9,5,5,1
5,10,13,24
3,8,9,762
3,3,2,9
7,18,19,113
2,8,10,330
6,6,0,3
1,2,1,9
1,0,4,87
5,15,14,13
4,5,10,4
5,11,22,31
6,14,10,3
4,15,25,1
3,6,12,20
3,5,7,17
1,17,18,20
3,0,0,155
9,12,20,75
5,10,16,3
7,23,26,1
5,21,19,60
2,9,17,476
6,18,16,11
5,15,19,23
6,17,22,27
9,17,19,191
8,13,17,37
8,19,21,26
8,7,19,1
1,7,11,4
9,8,9,664
9,3,2,1
3,5,5,16
2,16,16,53
5,2,10,157
8,14,20,19
1,22,18,23
2,1,4,9
7,1,9,437
8,23,19,11
9,5,7,5
9,6,12,13
4,5,11,3
8,15,8,10
8,7,14,5
6,14,11,3
7,3,5,9
3,12,20,130
9,0,0,68
5,9,18,66
2,15,21,13
5,13,24,34
2,15,15,25
2,21,21,12
3,17,19,205
1,18,24,520
4,20,25,2
1,3,10,1
3,9,12,15
8,14,21,7
8,14,15,33
3,2,6,3
4,17,24,1437
8,16,17,576
7,7,7,8
3,5,0,4
2,14,8,2
7,0,2,221
2,5,14,6
8,19,20,6
1,15,12,3
7,11,11,23
2,11,18,1
5,22,23,55
9,2,16,1
9,10,11,44
3,15,23,38
3,10,10,59
2,10,9,37
3,4,1,13
2,15,20,1
3,21,23,29
2,21,20,3
8,2,12,84
8,10,18,239
9,4,8,4
7,3,0,7
6,5,12,1
5,16,24,1638
6,6,7,8
6,22,17,14
4,14,12,1
6,8,8,120
8,13,22,2
2,13,13,14
6,22,16,2
3,7,0,2
2,15,8,2
2,7,14,2
1,14,12,4
7,0,0,126
8,15,21,18
9,3,5,3
3,23,26,1
8,15,15,37
3,5,2,2
8,21,21,11
7,6,12,12
7,5,7,4
6,12,24,1
2,19,21,27
2,13,17,34
9,1,9,363
5,0,8,3437
8,16,16,35
7,8,9,752
7,3,2,3
3,18,19,157
5,3,20,27
1,17,24,675
5,4,5,9
2,14,20,16
8,1,4,7
3,3,7,74
2,23,19,15
1,20,25,1
8,10,9,18
8,15,20,1
4,18,24,684
9,3,0,3
7,4,8,9
8,21,20,3
3,12,8,10
2,2,12,239
2,10,18,200
1,5,11,2
7,10,11,63
3,7,5,3
8,13,13,4
2,13,22,7
7,2,16,2
2,14,21,7
4,22,18,4
2,14,15,19
9,11,11,17
9,0,2,154
2,16,17,627
3,11,10,6
9,7,7,7
3,19,23,65
4,7,11,10
8,14,8,3
8,5,14,2
6,15,11,14
8,11,18,3
4,2,8,1
6,18,17,54
2,3,14,42
9,12,8,6
5,8,12,13
6,6,2,1
2,11,24,45
3,3,0,11
3,13,12,1
7,21,23,26
5,10,17,1
9,7,5,2
7,15,23,68
7,10,10,30
4,17,18,44
7,4,1,8
5,23,20,1
4,0,4,18
8,10,24,4
5,6,9,1
5,16,18,111
4,2,1,21
7,5,0,1
3,0,2,222
9,11,10,3
2,9,13,66
3,11,11,25
8,20,21,62
6,15,10,3
9,19,23,59
3,7,7,6
5,7,20,9
7,9,12,5
5,11,13,16
7,17,19,253
9,7,0,3
1,22,24,157
9,5,2,1
8,9,17,534
4,12,17,5
3,3,5,17
9,23,26,1
7,12,20,67
1,12,16,40
5,13,18,21
3,1,9,405
5,9,24,146
5,0,1,1157
2,1,10,239
4,6,3,1
8,20,20,1
5,7,15,28
5,19,19,49
5,2,4,2
1,18,18,56
8,8,10,166
4,19,25,1
9,18,19,58
1,12,13,29
5,23,21,9
7,5,5,3
4,3,11,108
9,3,7,30
6,12,9,31
6,17,16,31
6,1,4,3
7,7,22,6
4,11,13,38
9,10,8,9
6,16,16,86
9,6,14,24
7,20,24,181
9,5,17,1
5,12,17,3
2,4,9,1
9,7,13,7
7,12,10,7
1,1,12,2
7,23,22,9
3,14,24,1
6,21,21,9
4,0,1,1274
4,13,18,24
4,9,24,135
8,12,24,3
3,7,6,2
3,2,2,25
9,23,16,4
6,15,21,26
4,7,21,1
9,18,25,4
6,15,15,33
4,7,15,26
4,19,19,35
4,23,21,9
9,11,15,63
9,11,21,45
7,14,18,17
5,19,25,6
9,14,9,8
8,22,16,1
2,14,11,1
3,20,18,13
7,11,8,12
5,3,11,108
1,15,19,16
6,11,18,1
1,21,19,32
8,15,11,8
4,5,8,1
4,14,14,3
6,5,14,1
6,14,8,4
4,8,12,9
7,5,16,8
3,3,13,58
4,10,17,9
9,21,18,6
7,10,20,110
1,10,16,2
1,11,22,20
3,19,24,318
5,17,18,40
7,13,14,8
2,8,8,153
1,15,14,6
4,6,9,1
2,6,7,5
2,22,17,13
5,0,4,13
6,13,13,6
3,1,3,195
4,23,20,1
4,14,19,1
9,3,6,5
4,16,18,112
5,2,1,15
1,10,13,61
7,5,13,24
7,19,18,8
6,21,20,1
3,9,14,76
6,10,9,33
7,13,19,3
4,7,20,4
5,18,24,479
1,13,24,21
8,15,10,2
1,9,18,63
2,6,5,7
6,20,21,39
7,5,6,4
3,21,18,6
1,4,2,1
9,3,13,20
7,2,0,15
9,19,24,514
6,10,24,2
3,15,18,1
9,1,3,149
5,22,18,8
3,3,6,14
4,4,0,1
1,2,10,79
8,6,2,4
9,9,14,31
5,7,11,6
8,18,17,48
7,15,24,24
7,21,24,193
1,16,24,1795
8,17,16,26
8,12,9,34
7,2,5,23
8,18,22,1
3,10,8,31
3,6,14,33
3,5,17,1
2,6,0,1
2,12,18,2
6,8,10,168
9,14,24,1
3,7,13,4
6,20,20,2
9,7,6,4
9,2,2,7
3,23,16,6
2,17,22,26
7,22,25,1
1,22,23,39
2,18,16,10
6,9,17,721
3,18,25,5
5,15,12,2
3,11,21,43
4,4,5,4
4,3,20,21
3,11,15,57
4,0,8,3613
7,3,17,5
2,14,10,7
5,3,10,1
9,20,18,7
3,14,9,10
9,21,24,221
5,20,25,1
3,13,19,1
9,15,24,18
1,0,8,6154
3,19,18,19
7,3,16,1
3,5,13,42
1,4,5,4
5,17,24,922
1,3,20,21
7,9,14,40
6,9,16,1
2,6,2,1
2,18,17,58
6,3,14,22
6,11,24,74
4,22,23,36
7,1,3,199
9,2,0,4
7,19,24,402
3,13,14,6
3,5,16,17
7,3,13,29
8,6,5,8
3,10,20,214
9,5,6,3
6,9,13,58
8,17,17,1
4,16,24,1640
8,17,22,27
8,23,25,1
7,20,18,10
3,11,8,10
9,3,17,3
8,18,16,4
3,14,18,13
4,2,10,139
1,4,0,1
8,14,10,12
7,7,6,3
9,22,25,1
7,2,2,13
5,5,11,2
3,12,10,21
2,17,16,18
3,23,22,9
2,12,9,38
3,17,25,2
4,4,2,2
6,6,6,1
3,20,24,192
8,12,18,2
4,9,18,72
8,6,0,2
4,13,24,53
9,2,5,37
3,7,22,1
6,1,10,83
9,11,8,6
1,7,20,4
2,12,24,1
5,3,4,1
7,14,9,8
7,11,21,53
9,14,18,11
7,11,15,78
4,10,13,30
3,3,17,4
6,6,13,1
1,16,18,121
7,18,25,4
7,23,16,6
3,22,25,2
1,23,20,3
2,22,16,5
4,15,14,11
6,7,14,4
6,15,8,5
9,17,25,1
9,23,22,5
7,7,13,7
9,12,10,5
5,15,25,2
5,5,10,5
6,23,19,13
4,11,22,45
7,6,14,23
9,20,24,197
4,10,16,2
6,14,20,14
1,10,17,7
4,5,20,1
5,21,25,2
1,5,8,1
1,8,12,16
4,21,19,31
7,10,8,9
6,19,21,20
6,13,17,34
4,15,19,13
3,2,5,38
6,7,19,1
8,8,8,64
9,13,19,6
8,6,7,5
8,22,17,18
3,21,24,175
9,7,17,1
2,1,8,1
5,12,13,20
6,2,12,80
9,19,18,15
9,5,13,24
1,23,21,9
3,15,24,16
6,10,18,262
5,18,18,33
1,2,4,2
7,3,6,7
1,19,19,33
1,7,15,17
1,9,24,127
4,11,17,5
1,13,18,12
7,11,20,2
1,0,1,2363
9,13,14,7
3,2,0,7
7,15,18,3
4,1,12,3
9,10,20,106
7,21,18,2
2,15,11,7
5,12,16,36
9,5,16,4
6,16,17,721
5,22,24,157
3,5,6,9
6,14,21,1
1,11,13,11
6,14,15,43
1,1,5,34
7,11,24,71
7,9,16,1
1,9,20,3
7,3,14,36
8,7,5,1
3,13,13,13
6,1,3,237
2,4,1,26
3,10,9,79
2,10,10,16
2,15,23,43
4,9,8,42
8,12,8,2
6,9,14,53
3,21,20,2
2,21,23,26
9,20,21,20
7,9,13,47
3,14,8,2
3,5,14,5
4,2,3,32
8,19,23,85
2,5,0,2
3,11,18,1
5,22,20,1
2,7,2,1
6,19,24,475
2,2,6,1
1,20,17,42
4,20,16,12
9,10,24,1
5,8,16,2616
2,9,12,7
6,3,13,30
8,11,10,8
3,15,15,23
8,5,2,1
9,9,17,524
1,23,24,115
3,15,21,9
6,2,2,16
6,7,6,2
2,17,19,189
3,21,21,18
6,20,18,22
5,11,12,1
2,12,20,54
1,1,0,16
8,18,19,171
4,1,2,14
5,13,11,43
5,2,9,7
3,16,16,133
4,6,1,2
1,12,12,1
7,1,10,106
3,1,4,6
8,3,7,37
6,14,24,2
9,20,20,1
2,5,5,5
5,22,21,6
9,8,10,120
4,3,18,5
4,19,22,14
9,15,21,17
8,3,5,6
5,17,21,63
6,18,25,3
9,15,15,35
3,9,17,976
9,21,21,16
7,15,8,4
7,7,14,4
6,23,16,4
2,5,7,6
1,15,17,3
4,5,9,26
6,14,9,7
2,6,12,10
6,11,15,71
4,21,16,8
6,11,21,53
1,14,13,18
2,0,0,110
9,16,16,34
4,10,14,2
5,13,10,6
6,10,8,11
9,1,4,3
7,7,19,3
4,13,20,2
7,19,21,24
7,13,17,29
6,7,13,13
7,23,19,17
4,15,13,2
3,20,20,1
8,1,9,463
1,13,8,3
7,14,20,20
1,14,16,1
3,8,10,131
2,3,2,6
4,14,17,3
2,8,9,1547
6,5,17,1
6,6,14,27
4,14,22,54
2,4,8,26
6,3,6,9
8,13,12,3
9,13,13,3
7,13,22,1
2,10,11,75
5,17,20,6
5,5,3,9
9,10,9,21
1,11,14,6
8,3,0,2
7,10,18,264
7,2,12,72
9,21,20,3
8,7,7,13
4,16,20,5
9,14,8,1
1,21,22,7
9,5,14,19
7,16,17,705
3,20,21,60
7,14,15,46
4,23,18,11
4,4,12,17
7,14,21,3
9,11,18,2
2,2,16,7
1,15,22,7
4,7,18,2
3,10,24,7
1,11,19,122
1,19,16,1
6,21,18,7
8,11,11,30
8,0,2,195
4,13,15,38
7,19,20,2
4,13,21,89
6,20,24,179
1,13,21,35
5,7,3,3
4,19,16,16
1,13,15,10
9,14,20,26
4,11,19,289
6,23,22,6
5,18,21,24
6,17,25,1
9,23,19,7
6,4,4,1
6,12,10,8
6,7,22,2
9,19,21,29
9,13,17,22
4,15,22,7
3,1,10,58
7,1,4,2
2,1,9,857
1,23,18,2
1,4,12,8
4,21,22,6
1,16,20,15
8,8,9,770
8,3,2,1
7,16,16,87
6,14,18,21
2,3,5,3
4,11,14,27
6,11,8,15
8,5,7,3
8,6,12,4
9,15,8,2
9,7,14,1
5,9,11,227
7,21,21,9
7,15,15,31
7,15,21,12
8,0,0,118
1,14,22,51
1,14,17,1
6,10,20,103
2,7,7,7
4,7,9,1
5,1,6,55
6,5,16,6
9,19,20,4
4,14,16,1
4,13,8,7
6,13,14,1
8,2,16,1
1,15,13,1
5,23,23,16
9,14,21,1
7,11,18,2
9,14,15,16
5,6,10,4
3,9,13,121
2,11,11,23
7,14,8,1
2,0,2,215
9,16,17,514
7,5,14,4
1,10,14,3
5,18,20,5
1,21,16,4
6,19,18,11
6,5,13,28
9,2,12,100
4,14,13,17
7,21,20,2
9,10,18,302
8,4,8,5
1,15,16,1
7,10,9,29
6,13,19,3
1,5,9,11
9,13,22,24
7,13,13,9
8,10,11,51
2,3,0,5
3,11,24,60
3,9,16,3
1,19,22,11
3,3,14,35
1,3,18,1
3,19,20,2
8,5,0,1
2,19,23,67
7,10,24,2
5,3,3,11
6,2,0,11
3,14,15,41
8,7,2,1
8,2,6,2
5,6,11,1
1,6,1,3
8,9,12,9
4,12,12,1
1,1,2,6
6,5,6,4
3,16,17,1253
5,1,16,183
2,11,10,7
9,9,13,41
7,20,21,31
4,1,0,37
6,15,24,35
3,10,18,388
3,2,12,75
6,21,24,231
3,13,22,3
2,7,5,2
8,4,1,6
8,10,10,22
8,15,23,73
2,12,8,2
9,3,14,60
4,23,24,133
9,9,16,1
9,11,24,35
8,21,23,31
3,14,20,12
7,8,10,147
2,18,19,96
1,20,16,3
3,23,19,7
7,20,20,2
4,3,9,4
2,3,7,31
4,20,17,74
5,10,12,4
6,2,5,32
3,7,19,1
9,1,10,293
